name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1029;0;1029;3113;1860;3113;1883;0
header;176;122;176;161;1882;161;1882;122
A;1630;69;1630;70;1637;70;1637;69
A;1240;99;1240;99;1241;99;1241;99
A;1049;180;1049;206;1069;206;1069;180
A;1375;554;1375;559;1381;559;1381;554
A;1062;608;1062;609;1062;609;1062;608
B;1041;918;1041;944;1061;944;1061;918
A;1860;1292;1860;1298;1867;1298;1867;1292
A;1140;1517;1140;1523;1146;1523;1146;1517
C;1043;1594;1043;1623;1064;1623;1064;1594
A;1531;1831;1531;1831;1531;1831;1531;1831
A;1860;2030;1860;2037;1868;2037;1868;2030
D;1038;2282;1038;2309;1058;2309;1058;2282
A;1839;2558;1839;2559;1841;2559;1841;2558
A;1343;2936;1343;2937;1343;2937;1343;2936
