name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;806;0;922;3091;1593;3091;1454;0
header;49;3;49;40;1470;40;1470;3
A;920;261;920;284;940;284;940;261
A;952;694;952;696;953;696;953;694
A;940;908;940;909;940;909;940;908
B;927;932;927;958;947;958;947;932
A;1143;1106;1143;1106;1145;1106;1145;1106
A;1077;1368;1077;1369;1077;1369;1077;1368
A;1425;1566;1425;1566;1425;1566;1425;1566
C;926;1596;926;1627;950;1627;950;1596
A;1036;1610;1036;1610;1036;1610;1036;1610
A;1534;1935;1534;1936;1534;1936;1534;1935
A;956;1950;956;1950;956;1950;956;1950
D;936;2273;936;2301;957;2301;957;2273
A;1094;2456;1094;2456;1094;2456;1094;2456
A;1403;2772;1403;2772;1404;2772;1404;2772
A;940;2829;940;2832;943;2832;943;2829
A;1464;3000;1464;3000;1464;3000;1464;3000
